freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.495e+02,9.621e+00,1.919e+01,5.783e+02
1.6,5.432e+02,2.479e+01,4.332e+01,6.113e+02
3.1,3.424e+02,2.536e+01,4.415e+01,4.119e+02
4.7,6.556e+02,2.772e+01,4.524e+01,7.286e+02
6.3,1.551e+03,2.843e+01,4.921e+01,1.629e+03
7.8,2.240e+03,2.816e+01,4.612e+01,2.314e+03
9.4,2.946e+03,2.963e+01,4.612e+01,3.022e+03
11.0,3.934e+03,3.016e+01,4.768e+01,4.011e+03
12.5,5.133e+03,2.931e+01,4.456e+01,5.207e+03
14.1,6.656e+03,3.287e+01,4.854e+01,6.737e+03
15.7,8.352e+03,3.106e+01,4.474e+01,8.428e+03
17.2,1.043e+04,2.619e+01,4.447e+01,1.050e+04
18.8,1.239e+04,2.961e+01,4.664e+01,1.247e+04
20.4,1.431e+04,3.335e+01,4.836e+01,1.440e+04
21.9,1.858e+04,3.172e+01,4.642e+01,1.866e+04
23.5,2.145e+04,3.521e+01,4.876e+01,2.153e+04
25.1,2.471e+04,3.758e+01,5.526e+01,2.480e+04
26.6,3.118e+04,4.998e+01,6.081e+01,3.129e+04
28.2,3.558e+04,1.106e+02,6.827e+01,3.576e+04
29.8,4.001e+04,1.297e+02,8.002e+01,4.022e+04
31.3,4.863e+04,1.128e+02,9.363e+01,4.883e+04
32.9,5.953e+04,1.120e+02,1.152e+02,5.976e+04
34.5,7.392e+04,1.222e+02,1.367e+02,7.418e+04
36.0,9.387e+04,1.268e+02,1.754e+02,9.417e+04
37.6,1.129e+05,1.315e+02,2.427e+02,1.133e+05
39.2,1.536e+05,1.543e+02,4.298e+02,1.542e+05
40.7,2.139e+05,1.759e+02,8.112e+02,2.149e+05
42.3,3.037e+05,1.851e+02,1.541e+03,3.055e+05
43.9,4.460e+05,1.918e+02,2.779e+03,4.490e+05
45.4,6.969e+05,3.662e+02,4.259e+03,7.015e+05
47.0,1.199e+06,1.105e+03,4.053e+03,1.204e+06
48.6,1.395e+06,1.986e+03,5.576e+03,1.402e+06
50.1,1.121e+06,1.578e+03,5.279e+03,1.128e+06
51.7,8.545e+05,1.551e+03,6.119e+03,8.621e+05
53.3,5.925e+05,1.326e+03,7.546e+03,6.014e+05
54.8,4.791e+05,1.183e+03,7.919e+03,4.882e+05
56.4,2.943e+05,7.856e+02,6.058e+03,3.011e+05
58.0,1.448e+05,3.724e+02,4.910e+03,1.501e+05
59.5,8.892e+04,1.689e+02,6.084e+03,9.517e+04
61.1,5.480e+04,1.241e+02,6.466e+03,6.139e+04
62.7,4.096e+04,1.499e+02,8.506e+03,4.962e+04
64.2,3.042e+04,2.204e+02,9.797e+03,4.044e+04
65.8,2.283e+04,3.537e+02,9.705e+03,3.289e+04
67.4,2.155e+04,6.984e+02,9.702e+03,3.195e+04
68.9,1.933e+04,1.135e+03,7.861e+03,2.832e+04
