freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.297e+01,6.564e+01,1.734e+02,2.620e+02
1.6,3.067e+01,8.946e+01,1.449e+02,2.650e+02
3.1,2.583e+01,7.478e+01,8.875e+01,1.894e+02
4.7,2.645e+01,7.559e+01,4.640e+02,5.660e+02
6.3,2.595e+01,7.867e+01,1.313e+03,1.417e+03
7.8,2.981e+01,8.216e+01,1.882e+03,1.994e+03
9.4,3.190e+01,8.398e+01,2.778e+03,2.894e+03
11.0,3.174e+01,8.158e+01,3.773e+03,3.887e+03
12.5,2.976e+01,8.698e+01,5.414e+03,5.531e+03
14.1,3.148e+01,8.799e+01,7.795e+03,7.914e+03
15.7,3.712e+01,9.471e+01,9.864e+03,9.996e+03
17.2,4.217e+01,9.438e+01,1.026e+04,1.040e+04
18.8,3.878e+01,9.293e+01,1.125e+04,1.138e+04
20.4,3.786e+01,9.390e+01,1.317e+04,1.330e+04
21.9,3.574e+01,1.089e+02,1.461e+04,1.476e+04
23.5,4.041e+01,1.330e+02,1.494e+04,1.512e+04
25.1,5.324e+01,1.572e+02,1.516e+04,1.537e+04
26.6,5.396e+01,1.589e+02,1.550e+04,1.571e+04
28.2,5.505e+01,1.746e+02,1.724e+04,1.747e+04
29.8,6.825e+01,2.284e+02,2.137e+04,2.167e+04
31.3,7.417e+01,2.780e+02,2.578e+04,2.613e+04
32.9,8.225e+01,3.417e+02,3.068e+04,3.110e+04
34.5,9.157e+01,4.181e+02,3.978e+04,4.029e+04
36.0,1.198e+02,5.000e+02,5.015e+04,5.077e+04
37.6,1.900e+02,6.271e+02,6.715e+04,6.796e+04
39.2,3.680e+02,8.583e+02,8.932e+04,9.055e+04
40.7,9.620e+02,1.356e+03,1.279e+05,1.303e+05
42.3,2.747e+03,2.191e+03,2.061e+05,2.110e+05
43.9,7.362e+03,2.646e+03,2.823e+05,2.923e+05
45.4,1.340e+04,3.513e+03,3.003e+05,3.172e+05
47.0,1.363e+04,5.176e+03,2.489e+05,2.677e+05
48.6,1.315e+04,7.221e+03,2.122e+05,2.326e+05
50.1,1.622e+04,9.657e+03,1.859e+05,2.118e+05
51.7,1.815e+04,1.325e+04,1.512e+05,1.826e+05
53.3,2.216e+04,1.917e+04,1.326e+05,1.740e+05
54.8,2.708e+04,3.510e+04,1.117e+05,1.739e+05
56.4,3.371e+04,7.683e+04,1.127e+05,2.233e+05
58.0,2.706e+04,1.174e+05,1.219e+05,2.664e+05
59.5,2.671e+04,2.016e+05,1.827e+05,4.111e+05
61.1,2.081e+04,2.097e+05,1.867e+05,4.173e+05
62.6,1.831e+04,1.698e+05,1.504e+05,3.384e+05
64.2,1.698e+04,1.335e+05,1.148e+05,2.653e+05
65.8,1.777e+04,1.357e+05,1.073e+05,2.608e+05
67.3,1.721e+04,1.409e+05,1.013e+05,2.594e+05
68.9,1.563e+04,1.345e+05,8.660e+04,2.367e+05
70.5,1.679e+04,1.361e+05,8.125e+04,2.342e+05
72.0,2.201e+04,1.512e+05,8.281e+04,2.560e+05
73.6,2.478e+04,1.380e+05,7.150e+04,2.343e+05
75.2,3.430e+04,1.489e+05,7.233e+04,2.555e+05
76.7,3.882e+04,1.394e+05,6.392e+04,2.421e+05
78.3,4.474e+04,1.474e+05,6.348e+04,2.556e+05
79.9,3.756e+04,1.287e+05,5.283e+04,2.191e+05
81.4,3.523e+04,1.373e+05,5.324e+04,2.257e+05
83.0,2.935e+04,1.201e+05,4.406e+04,1.935e+05
84.6,3.313e+04,1.156e+05,3.712e+04,1.858e+05
86.1,5.154e+04,1.421e+05,3.825e+04,2.318e+05
87.7,6.126e+04,1.393e+05,3.291e+04,2.335e+05
89.3,6.560e+04,1.313e+05,2.939e+04,2.263e+05
90.8,7.379e+04,1.200e+05,2.565e+04,2.194e+05
92.4,7.904e+04,1.145e+05,2.315e+04,2.167e+05
94.0,7.010e+04,1.021e+05,2.015e+04,1.924e+05
95.5,5.661e+04,9.084e+04,1.707e+04,1.645e+05
97.1,5.585e+04,1.081e+05,1.879e+04,1.827e+05
98.7,3.832e+04,9.084e+04,1.487e+04,1.440e+05
100.2,2.696e+04,7.321e+04,1.049e+04,1.107e+05
101.8,2.136e+04,5.471e+04,6.796e+03,8.287e+04
103.4,1.984e+04,4.024e+04,4.058e+03,6.414e+04
104.9,1.349e+04,2.427e+04,2.736e+03,4.049e+04
106.5,1.489e+04,1.637e+04,3.255e+03,3.452e+04
108.1,1.873e+04,1.628e+04,3.689e+03,3.871e+04
109.6,1.845e+04,1.755e+04,4.509e+03,4.051e+04
111.2,1.843e+04,1.984e+04,4.892e+03,4.316e+04
112.8,1.849e+04,2.220e+04,6.158e+03,4.685e+04
114.3,1.839e+04,2.340e+04,5.393e+03,4.718e+04
115.9,2.588e+04,2.348e+04,4.803e+03,5.416e+04
117.5,2.666e+04,2.273e+04,4.837e+03,5.423e+04
119.0,2.122e+04,2.055e+04,4.939e+03,4.670e+04
120.6,1.970e+04,2.300e+04,5.717e+03,4.842e+04
122.2,1.417e+04,2.146e+04,5.684e+03,4.131e+04
123.7,1.419e+04,2.056e+04,5.533e+03,4.029e+04
125.3,1.868e+04,1.872e+04,5.921e+03,4.332e+04
126.9,1.612e+04,1.725e+04,6.743e+03,4.011e+04
128.4,1.258e+04,1.604e+04,6.836e+03,3.546e+04
130.0,1.341e+04,2.138e+04,9.088e+03,4.388e+04
131.6,1.403e+04,2.271e+04,1.077e+04,4.751e+04
133.1,7.536e+03,1.174e+04,5.935e+03,2.521e+04
134.7,3.028e+03,5.281e+03,1.750e+03,1.006e+04
136.3,3.253e+03,5.830e+03,1.289e+03,1.037e+04
137.8,3.516e+03,6.285e+03,1.031e+03,1.083e+04
139.4,3.548e+03,6.440e+03,8.736e+02,1.086e+04
141.0,3.549e+03,6.398e+03,7.248e+02,1.067e+04
142.5,3.202e+03,6.354e+03,5.552e+02,1.011e+04
144.1,3.239e+03,6.532e+03,6.284e+02,1.040e+04
145.7,3.176e+03,6.293e+03,7.249e+02,1.019e+04
147.2,2.964e+03,5.912e+03,6.860e+02,9.562e+03
148.8,2.650e+03,5.499e+03,5.608e+02,8.710e+03
150.4,2.978e+03,5.429e+03,8.807e+02,9.288e+03
151.9,2.867e+03,4.773e+03,1.019e+03,8.659e+03
153.5,2.488e+03,3.865e+03,8.726e+02,7.226e+03
155.1,2.463e+03,3.595e+03,1.113e+03,7.171e+03
156.6,1.897e+03,2.602e+03,1.183e+03,5.682e+03
158.2,1.665e+03,2.261e+03,1.220e+03,5.146e+03
159.8,1.950e+03,2.487e+03,1.160e+03,5.598e+03
161.3,1.613e+03,2.016e+03,8.304e+02,4.460e+03
162.9,1.645e+03,2.078e+03,1.066e+03,4.789e+03
164.5,1.578e+03,2.040e+03,1.146e+03,4.764e+03
166.0,1.536e+03,1.813e+03,1.123e+03,4.472e+03
167.6,1.288e+03,1.691e+03,9.423e+02,3.921e+03
169.2,1.528e+03,2.173e+03,1.034e+03,4.734e+03
170.7,1.668e+03,2.269e+03,1.140e+03,5.078e+03
172.3,1.880e+03,2.158e+03,1.312e+03,5.350e+03
173.9,2.123e+03,2.305e+03,1.337e+03,5.765e+03
175.4,1.829e+03,1.746e+03,1.254e+03,4.829e+03
