freq,psd_x,psd_y,psd_z,psd_xyz
144.2,1.493e+04,1.434e+03,1.799e+03,1.816e+04
145.7,1.074e+04,9.797e+02,9.114e+02,1.263e+04
147.3,6.636e+03,9.289e+02,4.054e+02,7.970e+03
148.9,3.983e+03,1.159e+03,3.144e+02,5.456e+03
150.4,2.865e+03,1.444e+03,4.356e+02,4.745e+03
152.0,1.709e+03,1.781e+03,5.409e+02,4.031e+03
153.6,1.444e+03,2.177e+03,7.043e+02,4.326e+03
155.1,2.404e+03,2.397e+03,9.359e+02,5.737e+03
156.7,4.096e+03,2.130e+03,1.171e+03,7.397e+03
158.3,5.888e+03,1.668e+03,1.462e+03,9.018e+03
159.8,7.031e+03,1.410e+03,1.727e+03,1.017e+04
161.4,7.095e+03,1.418e+03,1.827e+03,1.034e+04
163.0,7.472e+03,1.405e+03,1.868e+03,1.075e+04
164.5,8.824e+03,1.195e+03,1.716e+03,1.173e+04
166.1,1.065e+04,1.044e+03,1.777e+03,1.347e+04
167.7,1.170e+04,1.090e+03,1.968e+03,1.475e+04
169.2,1.152e+04,1.340e+03,2.087e+03,1.495e+04
170.8,1.122e+04,1.863e+03,2.350e+03,1.543e+04
172.4,1.219e+04,2.378e+03,2.826e+03,1.739e+04
173.9,1.158e+04,2.898e+03,2.896e+03,1.738e+04
175.5,1.076e+04,3.387e+03,2.756e+03,1.691e+04
177.1,1.035e+04,3.990e+03,2.606e+03,1.695e+04
178.6,9.998e+03,4.347e+03,2.455e+03,1.680e+04
180.2,1.035e+04,4.472e+03,2.401e+03,1.723e+04
181.8,1.111e+04,4.676e+03,2.266e+03,1.805e+04
183.3,1.194e+04,5.264e+03,2.136e+03,1.934e+04
184.9,1.272e+04,6.027e+03,2.110e+03,2.086e+04
186.5,1.364e+04,6.616e+03,2.015e+03,2.228e+04
188.0,1.401e+04,7.221e+03,1.938e+03,2.317e+04
189.6,1.405e+04,7.951e+03,1.876e+03,2.388e+04
191.2,1.389e+04,8.377e+03,1.689e+03,2.395e+04
192.7,1.388e+04,8.544e+03,1.501e+03,2.392e+04
194.3,1.411e+04,8.027e+03,1.476e+03,2.361e+04
195.9,1.402e+04,7.256e+03,1.331e+03,2.261e+04
197.4,1.387e+04,6.125e+03,1.140e+03,2.114e+04
199.0,1.314e+04,5.028e+03,1.144e+03,1.932e+04
